,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
0,Mike Perry,1,61%,0%,0,0,0,11 , 18,11 , 18,0 , 0,10 , 17,0 , 0,1 , 1,4 , 11,6 , 6,1 , 1,Alex Reyes,0,46%,0%,0,0,0,6 , 13,6 , 13,0 , 0,1 , 7,4 , 5,1 , 1,3 , 10,3 , 3,0 , 0,1,00:01:19,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/3dd22a9a0ea68cc6
1,Hector Lombard,0,48%,50%,0,0,0,65 , 134,68 , 137,1 , 2,26 , 90,7 , 8,32 , 36,52 , 108,10 , 20,3 , 6,Anthony Smith,1,30%,0%,0,0,0,35 , 115,38 , 118,0 , 1,27 , 102,6 , 10,2 , 3,27 , 101,6 , 9,2 , 5,3,00:02:33,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/ff4cef86bef2d0aa
2,Gregor Gillespie,1,35%,66%,1,6,0,20 , 56,34 , 73,4 , 6,19 , 53,1 , 3,0 , 0,12 , 34,1 , 6,7 , 16,Jason Gonzalez,0,51%,0%,0,0,0,22 , 43,27 , 50,0 , 0,17 , 36,5 , 7,0 , 0,16 , 36,5 , 5,1 , 2,2,00:02:11,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/128e818254ebfabe
3,Kamaru Usman,1,33%,0%,0,0,0,16 , 48,16 , 48,0 , 0,8 , 35,4 , 6,4 , 7,15 , 46,0 , 0,1 , 2,Sergio Moraes,0,48%,0%,0,0,0,13 , 27,13 , 27,0 , 0,10 , 23,3 , 3,0 , 1,13 , 27,0 , 0,0 , 0,1,00:02:48,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/4c1fd940e1619e68
4,Justin Ledet,0,28%,0%,0,0,0,36 , 126,36 , 126,0 , 0,35 , 124,1 , 2,0 , 0,36 , 126,0 , 0,0 , 0,Zu Anyanwu,0,44%,0%,0,0,0,37 , 84,37 , 84,0 , 0,28 , 60,9 , 24,0 , 0,36 , 82,1 , 2,0 , 0,3,00:05:00,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/7b80dd233e200dd2
5,Anthony Rocco Martin,0,36%,0%,1,2,1,15 , 41,56 , 96,0 , 0,13 , 37,1 , 2,1 , 2,9 , 35,2 , 2,4 , 4,Olivier Aubin-Mercier,0,43%,57%,0,6,0,20 , 46,47 , 78,4 , 7,10 , 33,3 , 5,7 , 8,10 , 33,3 , 3,7 , 10,3,00:05:00,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/52e4f12eaeffd142
6,Anthony Hamilton,0,0%,0%,0,0,0,0 , 1,0 , 1,0 , 0,0 , 1,0 , 0,0 , 0,0 , 1,0 , 0,0 , 0,Daniel Spitz,0,83%,100%,0,0,0,5 , 6,5 , 6,1 , 1,5 , 5,0 , 1,0 , 0,1 , 2,0 , 0,4 , 4,1,00:00:24,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/7864fc46de247f58
7,Krzysztof Jotko,1,48%,50%,1,3,0,44 , 90,60 , 108,1 , 2,40 , 85,3 , 4,1 , 1,15 , 42,15 , 27,14 , 21,Uriah Hall,1,59%,0%,0,0,0,26 , 44,26 , 44,0 , 0,15 , 32,6 , 7,5 , 5,19 , 33,0 , 0,7 , 11,2,00:02:25,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/7094c05bf73eee81
8,Jason Saggo,0,38%,50%,0,0,0,35 , 92,39 , 99,1 , 2,11 , 60,9 , 14,15 , 18,30 , 84,2 , 3,3 , 5,Gilbert Burns,1,44%,66%,0,0,0,42 , 95,50 , 104,2 , 3,27 , 77,8 , 10,7 , 8,31 , 78,6 , 10,5 , 7,2,00:04:55,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/2ec12d4bbc0752db
9,Amanda Nunes,0,48%,25%,0,2,0,86 , 176,90 , 180,2 , 8,16 , 65,14 , 22,56 , 89,85 , 173,1 , 2,0 , 1,Valentina Shevchenko,0,37%,0%,0,0,0,72 , 194,85 , 209,0 , 1,30 , 138,9 , 13,33 , 43,65 , 183,3 , 6,4 , 5,5,00:05:00,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/cb16346d93746ebc
