,Winner,R_fighter,B_fighter,R_STR,B_STR,R_TD,B_TD,R_SUB,B_SUB,R_PASS,B_PASS,WEIGHT_CLASS,METHOD,DETAIL,ROUND,TIME,title_bout,link,date,location,attendance
0,win,Charles Oliveira,Kevin Lee,43,41,0,2,2,0,0,2,Lightweight,SUB,Guillotine Choke,3,00:00:28,0.0,http://ufcstats.com/fight-details/e0b323dae5bf4c90,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
1,win,Gilbert Burns,Demian Maia,13,4,0,2,0,0,0,1,Welterweight,KO/TKO,Punch,1,00:02:34,0.0,http://ufcstats.com/fight-details/5cee1d8f1e43d6f5,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
2,win,Renato Moicano,Damir Hadzovic,1,1,1,0,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,00:00:44,0.0,http://ufcstats.com/fight-details/c26a3f4c08333886,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
3,win,Nikita Krylov,Johnny Walker,45,37,3,0,0,0,4,2,Light Heavyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/5bba49d88db7430f,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
4,win,Francisco Trinaldo,John Makdessi,55,67,0,0,0,0,0,0,Lightweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/dc45c8d70e256749,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
5,win,Brandon Moreno,Jussier Formiga,33,15,0,1,0,1,1,3,Flyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/b3c74554c871fbf8,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
6,win,Amanda Ribas,Randa Markos,85,36,1,1,2,0,4,0,Women's Strawweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/ea303a8e6e31f264,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
7,win,Elizeu Zaleski dos Santos,Aleksei Kunchenko,62,57,2,0,0,0,0,0,Welterweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/9fc6aba53508dc48,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
8,draw,Rani Yahya,Enrique Barzola,24,57,2,1,0,1,3,5,Bantamweight,M-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/e2503ed6a1f9257d,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
9,win,Maryna Moroz,Mayra Bueno Silva,139,88,2,0,0,0,1,0,Women's Flyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/2a1826612a7d739c,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
10,win,David Dvorak,Bruno Silva,67,45,0,3,0,0,1,2,Flyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/1a2d13834696c4ab,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
11,win,Bea Malecki,Veronica Macedo,130,93,0,0,0,0,2,0,Women's Bantamweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/ef526567c4dcf371,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0
12,win,Israel Adesanya,Yoel Romero,48,40,0,0,0,0,0,0,Middleweight,U-DEC,,5,00:05:00,1.0,http://ufcstats.com/fight-details/b46f2f007b622bce,07-03-2020,"Las Vegas, Nevada, USA",15077.0
13,win,Weili Zhang,Joanna Jedrzejczyk,165,186,1,0,0,0,0,0,Women's Strawweight,S-DEC,,5,00:05:00,1.0,http://ufcstats.com/fight-details/cf0a6466b762c668,07-03-2020,"Las Vegas, Nevada, USA",15077.0
14,win,Beneil Dariush,Drakkar Klose,12,15,1,0,2,0,1,0,Lightweight,KO/TKO,Punch,2,00:01:00,0.0,http://ufcstats.com/fight-details/891470d896b1de5a,07-03-2020,"Las Vegas, Nevada, USA",15077.0
15,win,Neil Magny,Jingliang Li,74,16,4,2,0,0,2,0,Welterweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/d66a8591af39ca7b,07-03-2020,"Las Vegas, Nevada, USA",15077.0
16,win,Alex Oliveira,Max Griffin,40,23,1,2,0,0,2,2,Welterweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/4d607b6ddc77a34c,07-03-2020,"Las Vegas, Nevada, USA",15077.0
17,win,Sean O'Malley,Jose Quinonez,18,0,0,0,0,0,0,0,Bantamweight,KO/TKO,Punches,1,00:02:02,0.0,http://ufcstats.com/fight-details/cd258394e8d58d04,07-03-2020,"Las Vegas, Nevada, USA",15077.0
18,win,Mark Madsen,Austin Hubbard,15,41,8,0,0,0,3,0,Lightweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/60c441c5838dfac2,07-03-2020,"Las Vegas, Nevada, USA",15077.0
19,win,Rodolfo Vieira,Saparbeg Safarov,5,5,2,0,1,0,2,0,Middleweight,SUB,Arm Triangle,1,00:02:58,0.0,http://ufcstats.com/fight-details/a70c43cafabc73c3,07-03-2020,"Las Vegas, Nevada, USA",15077.0
20,win,Gerald Meerschaert,Deron Winn,86,53,1,1,1,0,1,0,Middleweight,SUB,Rear Naked Choke,3,00:02:13,0.0,http://ufcstats.com/fight-details/d671f436fab2a252,07-03-2020,"Las Vegas, Nevada, USA",15077.0
21,win,Giga Chikadze,Jamall Emmers,38,54,0,2,0,0,0,1,Featherweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/daa38964824f1b9f,07-03-2020,"Las Vegas, Nevada, USA",15077.0
22,win,Danaa Batgerel,Guido Cannetti,17,11,0,0,0,0,0,0,Bantamweight,KO/TKO,Punch,1,00:03:01,0.0,http://ufcstats.com/fight-details/467e08195b29e857,07-03-2020,"Las Vegas, Nevada, USA",15077.0
23,win,Deiveson Figueiredo,Joseph Benavidez,25,46,1,0,1,0,0,0,Flyweight,KO/TKO,Punch,2,00:01:54,1.0,http://ufcstats.com/fight-details/e8219ea7da46f67f,29-02-2020,"Norfolk, Virginia, USA",7098.0
24,win,Felicia Spencer,Zarah Fairn,40,13,1,0,0,0,2,0,Women's Featherweight,KO/TKO,Punches,1,00:03:37,0.0,http://ufcstats.com/fight-details/8a85dffa80e6c7bd,29-02-2020,"Norfolk, Virginia, USA",7098.0
25,win,Magomed Ankalaev,Ion Cutelaba,8,5,0,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,00:00:38,0.0,http://ufcstats.com/fight-details/f5b49f4c5a27e53b,29-02-2020,"Norfolk, Virginia, USA",7098.0
26,win,Megan Anderson,Norma Dumont,7,5,0,1,0,0,0,0,Women's Featherweight,KO/TKO,Punch,1,00:03:31,0.0,http://ufcstats.com/fight-details/671f42536454e541,29-02-2020,"Norfolk, Virginia, USA",7098.0
27,win,Grant Dawson,Darrick Minner,15,4,2,1,2,2,6,0,Featherweight,SUB,Rear Naked Choke,2,00:01:38,0.0,http://ufcstats.com/fight-details/eba6055d217d5b99,29-02-2020,"Norfolk, Virginia, USA",7098.0
28,win,Kyler Phillips,Gabriel Silva,89,31,2,2,1,1,4,0,Bantamweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/0e3af9b5e1b3ae80,29-02-2020,"Norfolk, Virginia, USA",7098.0
29,win,Brendan Allen,Tom Breese,20,4,0,0,0,0,2,0,Middleweight,KO/TKO,Punches,1,00:04:47,0.0,http://ufcstats.com/fight-details/d9a218ac3e148541,29-02-2020,"Norfolk, Virginia, USA",7098.0
30,win,Marcin Tybura,Serghei Spivac,43,26,2,0,0,0,3,0,Heavyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/e30b9829e42aa4ca,29-02-2020,"Norfolk, Virginia, USA",7098.0
31,win,Luis Pena,Steve Garcia,27,21,0,1,1,1,3,0,Lightweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/9d2f7d29bb9c9034,29-02-2020,"Norfolk, Virginia, USA",7098.0
