,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
0,Beneil Dariush,2,65%,0%,0,0,0,46 , 70,48 , 72,0 , 2,33 , 56,9 , 10,4 , 4,16 , 27,11 , 16,19 , 27,James Vick,0,30%,0%,0,0,0,9 , 30,10 , 31,0 , 0,5 , 17,4 , 12,0 , 1,5 , 25,4 , 5,0 , 0,1,00:04:16,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/2c65d5d20cc893e4
1,Jessica Penne,0,29%,0%,0,0,0,27 , 91,28 , 92,0 , 6,17 , 67,10 , 23,0 , 1,19 , 80,8 , 11,0 , 0,Jessica Andrade,0,57%,0%,0,0,0,117 , 205,118 , 206,0 , 0,90 , 171,26 , 33,1 , 1,78 , 145,39 , 60,0 , 0,2,00:02:56,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e06f96f3484ad74a
2,Cole Miller,0,25%,100%,1,4,0,33 , 127,39 , 134,3 , 3,24 , 111,5 , 11,4 , 5,30 , 122,1 , 2,2 , 3,Alex Caceres,1,62%,100%,0,4,1,97 , 156,108 , 167,5 , 5,65 , 120,22 , 26,10 , 10,77 , 130,10 , 14,10 , 12,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/5b55a8e33199d71e
3,Sean Strickland,0,35%,0%,0,0,0,73 , 207,77 , 211,0 , 2,51 , 181,13 , 16,9 , 10,65 , 195,4 , 6,4 , 6,Tom Breese,0,40%,0%,0,0,0,62 , 153,62 , 153,0 , 3,33 , 109,24 , 37,5 , 7,62 , 153,0 , 0,0 , 0,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/3e020d62796a7ce3
4,Jonathan Wilson,1,68%,100%,0,0,0,66 , 97,71 , 102,1 , 1,53 , 82,13 , 15,0 , 0,46 , 73,14 , 17,6 , 7,Henrique da Silva,0,59%,0%,0,2,1,81 , 136,97 , 153,0 , 0,55 , 101,21 , 30,5 , 5,25 , 62,25 , 39,31 , 35,2,00:04:11,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/5e794b8ef52c88cb
5,Kevin Casey,0,71%,33%,0,2,0,59 , 83,79 , 103,2 , 6,33 , 56,15 , 16,11 , 11,29 , 48,8 , 10,22 , 25,Elvis Mutapcic,0,52%,0%,0,1,0,64 , 121,119 , 178,0 , 0,29 , 82,27 , 31,8 , 8,27 , 70,31 , 40,6 , 11,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e640fd983577d349
6,Polo Reyes,2,45%,0%,0,2,0,135 , 299,147 , 312,0 , 0,100 , 251,31 , 41,4 , 7,109 , 254,14 , 25,12 , 20,Dong Hyun Ma,0,42%,66%,0,2,0,83 , 197,99 , 214,2 , 3,76 , 187,4 , 7,3 , 3,67 , 171,16 , 26,0 , 0,3,00:01:52,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/1cbb930fb77a3781
7,Thomas Almeida,0,40%,0%,0,0,0,10 , 25,10 , 25,0 , 0,9 , 23,0 , 0,1 , 2,10 , 25,0 , 0,0 , 0,Cody Garbrandt,1,43%,0%,0,0,0,21 , 48,22 , 49,0 , 0,18 , 43,0 , 1,3 , 4,20 , 47,0 , 0,1 , 1,1,00:02:53,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/8d9b460143ae19bc
8,Renan Barao,0,31%,22%,0,0,0,43 , 137,51 , 146,2 , 9,28 , 110,7 , 16,8 , 11,38 , 129,5 , 8,0 , 0,Jeremy Stephens,0,39%,0%,0,0,0,55 , 140,73 , 158,0 , 1,38 , 113,7 , 11,10 , 16,50 , 134,5 , 6,0 , 0,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/b2c3f1783a0c8530
9,Tarec Saffiedine,0,45%,0%,0,0,0,32 , 71,47 , 86,0 , 1,16 , 52,9 , 12,7 , 7,23 , 52,9 , 19,0 , 0,Rick Story,0,52%,0%,0,0,0,58 , 111,97 , 150,0 , 6,19 , 61,26 , 33,13 , 17,26 , 65,32 , 46,0 , 0,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/a78ccbb549d36ddd
10,Chris Camozzi,0,46%,100%,0,3,0,43 , 93,76 , 142,1 , 1,33 , 80,2 , 3,8 , 10,32 , 79,5 , 5,6 , 9,Vitor Miranda,0,29%,50%,0,0,0,27 , 92,49 , 116,1 , 2,9 , 55,4 , 18,14 , 19,22 , 85,3 , 3,2 , 4,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/313801a4262f1ea5
11,Jorge Masvidal,0,39%,50%,2,0,0,48 , 121,60 , 133,1 , 2,31 , 95,8 , 12,9 , 14,31 , 101,17 , 20,0 , 0,Lorenz Larkin,0,36%,50%,0,0,0,44 , 122,58 , 136,1 , 2,27 , 95,7 , 11,10 , 16,40 , 114,4 , 8,0 , 0,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/8d975de5d033ccde
12,Joshua Burkman,0,41%,50%,0,2,0,40 , 97,41 , 98,3 , 6,16 , 58,6 , 10,18 , 29,38 , 93,2 , 4,0 , 0,Paul Felder,0,43%,0%,0,0,0,41 , 95,53 , 107,0 , 2,15 , 63,14 , 17,12 , 15,36 , 89,5 , 6,0 , 0,3,00:05:00,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/6387fdb44c61ccdb
13,Sara McMann,0,43%,40%,1,2,0,22 , 51,56 , 88,2 , 5,8 , 34,12 , 15,2 , 2,3 , 29,11 , 13,8 , 9,Jessica Eye,0,41%,0%,0,0,0,10 , 24,19 , 34,0 , 0,6 , 20,1 , 1,3 , 3,9 , 23,0 , 0,1 , 1,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/934718256f4d082c
14,Abel Trujillo,0,43%,100%,0,0,0,35 , 80,57 , 102,3 , 3,29 , 72,6 , 8,0 , 0,25 , 63,4 , 7,6 , 10,Jordan Rinaldi,0,31%,28%,1,1,0,18 , 58,43 , 84,2 , 7,14 , 49,2 , 5,2 , 4,16 , 54,1 , 3,1 , 1,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/f457d55f78d581f9
15,Jake Collier,1,50%,20%,0,1,0,27 , 54,34 , 61,1 , 5,21 , 45,6 , 9,0 , 0,12 , 25,10 , 19,5 , 10,Alberto Uda,0,55%,50%,0,1,1,15 , 27,28 , 40,1 , 2,12 , 19,3 , 5,0 , 3,3 , 12,11 , 13,1 , 2,2,00:01:06,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/09b8253a30360429
16,Erik Koch,0,35%,50%,1,4,0,14 , 40,22 , 50,2 , 4,11 , 37,2 , 2,1 , 1,10 , 36,3 , 3,1 , 1,Shane Campbell,0,61%,0%,0,0,0,16 , 26,34 , 46,0 , 3,2 , 10,6 , 8,8 , 8,13 , 21,3 , 5,0 , 0,2,00:03:02,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/5724a9cf463c8390
17,Aljamain Sterling,0,50%,33%,2,1,0,32 , 64,56 , 91,1 , 3,9 , 34,14 , 18,9 , 12,22 , 50,7 , 9,3 , 5,Bryan Caraway,0,29%,50%,0,5,0,9 , 31,69 , 96,3 , 6,8 , 28,1 , 3,0 , 0,9 , 30,0 , 1,0 , 0,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/6e093a1d4286dad6
18,Chris de la Rocha,0,39%,0%,0,0,0,39 , 98,43 , 102,0 , 7,25 , 82,9 , 11,5 , 5,33 , 91,6 , 7,0 , 0,Adam Milstead,0,50%,0%,0,0,0,58 , 116,61 , 119,0 , 0,52 , 107,5 , 8,1 , 1,47 , 100,9 , 14,2 , 2,2,00:04:01,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/969970fbe24945d0
19,Fabricio Werdum,0,45%,0%,0,0,0,15 , 33,15 , 33,0 , 1,5 , 20,4 , 5,6 , 8,15 , 33,0 , 0,0 , 0,Stipe Miocic,1,64%,0%,0,0,0,20 , 31,20 , 31,0 , 0,10 , 21,1 , 1,9 , 9,16 , 27,1 , 1,3 , 3,1,00:02:47,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e27504d07ebbc441
20,Jacare Souza,0,70%,33%,0,4,0,39 , 55,54 , 72,1 , 3,38 , 53,1 , 2,0 , 0,1 , 3,2 , 4,36 , 48,Vitor Belfort,0,80%,0%,0,0,0,4 , 5,5 , 6,0 , 0,3 , 4,1 , 1,0 , 0,0 , 1,1 , 1,3 , 3,1,00:04:38,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/80c4f70b7f7a1945
21,Cris Cyborg,1,65%,0%,0,1,0,26 , 40,30 , 44,0 , 0,21 , 35,4 , 4,1 , 1,18 , 29,0 , 0,8 , 11,Leslie Smith,0,22%,0%,0,0,0,2 , 9,3 , 10,0 , 0,2 , 8,0 , 0,0 , 1,2 , 9,0 , 0,0 , 0,1,00:01:21,3 Rnd (5-5-5),Eduardo Herdy,http://ufcstats.com/fight-details/ee9e4f8523a484a6
22,Mauricio Rua,2,47%,0%,0,0,0,48 , 101,66 , 119,0 , 0,26 , 75,5 , 7,17 , 19,37 , 83,6 , 8,5 , 10,Corey Anderson,0,39%,50%,0,2,0,55 , 138,106 , 196,4 , 8,37 , 117,10 , 13,8 , 8,40 , 114,12 , 20,3 , 4,3,00:05:00,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/8ec7d82619bfb564
23,Warlley Alves,0,58%,0%,1,0,0,79 , 136,82 , 139,0 , 2,52 , 105,24 , 27,3 , 4,70 , 124,9 , 12,0 , 0,Bryan Barberena,0,51%,0%,0,0,0,120 , 231,164 , 281,0 , 1,84 , 186,13 , 20,23 , 25,90 , 184,30 , 47,0 , 0,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/93026e3763542c05
24,Demian Maia,0,85%,30%,2,5,0,17 , 20,91 , 110,3 , 10,17 , 20,0 , 0,0 , 0,2 , 3,0 , 0,15 , 17,Matt Brown,0,43%,0%,0,1,1,10 , 23,29 , 46,0 , 0,9 , 20,0 , 1,1 , 2,2 , 12,0 , 1,8 , 10,3,00:04:31,3 Rnd (5-5-5),Mario Yamasaki,http://ufcstats.com/fight-details/9231cef371b89a46
25,Thiago Santos,2,53%,0%,0,0,0,16 , 30,20 , 35,0 , 0,6 , 18,6 , 7,4 , 5,12 , 25,1 , 2,3 , 3,Nate Marquardt,0,53%,0%,0,0,0,7 , 13,7 , 13,0 , 0,1 , 7,0 , 0,6 , 6,6 , 11,1 , 2,0 , 0,1,00:03:39,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e99f92b92e90b228
