,DOB,Height,Name,Reach,Stance,Weight
0,26-08-1994,66,Gabriel Silva,71, Orthodox,135
0,20-09-1989,72,Aalon Cruz,78, Switch,145
0,05-11-1986,66,Davi Ramos,70, Orthodox,155
0,17-07-1976,79,Sean McCorkle,81, Orthodox,265
0,28-02-1991,72,Glaico Franca,77,,155
0,15-11-1979,73,Dylan Andrews,73, Switch,185
0,17-10-1984,75,Luke Rockhold,77, Southpaw,205
0,21-03-1985,73,John Salter,74, Southpaw,185
0,23-08-1983,68,Joe Brammer,0, Orthodox,155
0,19-08-1988,66,Gina Mazany,68, Southpaw,135
0,25-02-1991,63,Rachael Ostovich,62, Orthodox,125
0,16-11-1989,76,Chase Sherman,78, Orthodox,250
0,05-04-1979,61,Benji Radach,0, Orthodox,185
0,07-01-1984,69,Caros Fodor,76, Orthodox,155
0,31-05-1977,68,Koji Oishi,0, Orthodox,170
0,23-04-1980,61,Josh Bryant,0, Orthodox,185
0,22-10-1980,68,Henry Briones,69,,135
0,31-10-1969,66,Jason Reinhardt,0, Orthodox,135
0,09-02-1992,72,Darko Stosic,76, Orthodox,205
0,05-08-1973,66,Sean Sherk,67, Orthodox,155
0,13-11-1989,61,Abubakar Nurmagomedov,72, Orthodox,170
0,19-01-1989,69,Dustin Poirier,72, Southpaw,155
0,0,61,Rudyard Moncayo,0, Orthodox,195
0,31-12-1970,75,Kevin Jordan,0, Orthodox,245
0,11-08-1986,69,Artem Lobov,65, Southpaw,145
0,0,74,Trent Jenkins,0,,185
0,09-08-1971,74,Kerry Schall,0, Orthodox,265
0,20-09-1988,61,Khabib Nurmagomedov,70, Orthodox,155
0,05-08-1982,61,Pete Sell,75, Orthodox,170
0,24-02-1965,73,Bas Rutten,0, Orthodox,205
0,17-12-1983,61,John Cholish,72, Orthodox,155
0,10-06-1983,77,Walt Harris,77, Southpaw,250
0,0,73,Nate Schroeder,0,,230
0,22-01-1994,68,Arnold Allen,70, Southpaw,145
0,19-12-1989,72,Jack Marshman,73, Orthodox,185
0,18-08-1973,61,Marcus Aurelio,74, Orthodox,155
0,02-10-1978,73,Matt Horwich,0, Orthodox,185
0,04-08-1987,61,Oluwale Bamgbose,78, Switch,185
0,03-03-1983,69,Nate Mohr,72, Orthodox,155
0,02-08-1991,74,Tanner Boser,75, Orthodox,255
0,25-01-1977,67,Jorge Gurgel,69, Orthodox,155
0,01-03-1979,69,Gerald Strebendt,0, Orthodox,155
0,0,75,Chase Gormley,0, Orthodox,265
0,25-06-1987,68,Rob Font,71, Orthodox,135
0,22-03-1972,72,Houston Alexander,72, Orthodox,205
0,30-01-1981,61,Rob Kimmons,73, Orthodox,185
0,29-11-1979,61,Costas Philippou,73, Orthodox,185
0,09-02-1987,64,Henry Cejudo,64, Orthodox,135
0,10-12-1975,78,Jon Olav Einemo,0, Orthodox,253
0,08-06-1971,69,Marvin Eastman,73, Orthodox,185
0,04-04-1979,61,Dale Hartt,69, Orthodox,155
0,09-11-1982,74,Chris Price,0, Southpaw,185
0,11-04-1991,64,Kailin Curran,65, Orthodox,115
0,11-02-1989,66,Andrea Lee,69, Orthodox,125
0,22-03-1985,74,Mike Jackson,0, Orthodox,170
0,22-07-1986,68,Cain Carrizosa,74, Orthodox,155
0,01-03-1988,72,Devin Powell,73, Orthodox,155
0,20-05-1988,75,Scott Askham,75, Southpaw,185
0,05-07-1986,79,Maurice Greene,80,,258
0,29-07-1973,75,Branden Lee Hinkle,0, Orthodox,235
0,02-10-1980,73,Ed Herman,77, Orthodox,205
0,17-10-1989,61,Charles Oliveira,74, Orthodox,155
0,04-08-1989,63,Milana Dudieva,61, Orthodox,135
0,06-09-1986,61,Tarec Saffiedine,70, Switch,170
0,29-08-1989,61,Joey Gomez,71, Orthodox,155
0,0,80,Paul Varelans,0, Orthodox,300
0,25-04-1992,65,Rogerio Bontorin,67, Orthodox,125
0,19-07-1987,76,Jon Jones,84, Orthodox,205
0,19-09-1989,74,Volkan Oezdemir,75, Orthodox,205
0,11-03-1986,69,Tommy Hayden,72, Southpaw,145
0,12-01-1978,61,Dave Galera,0, Orthodox,135
0,0,80,Rafael Carino,0, Orthodox,245
0,05-01-1968,75,Kimo Leopoldo,0, Orthodox,235
0,06-05-1989,61,Beneil Dariush,72, Southpaw,155
0,31-10-1988,61,Myles Jury,73, Orthodox,145
0,18-10-1993,72,Anthony Hernandez,75, Orthodox,185
0,12-09-1983,69,Johny Hendricks,69, Southpaw,185
0,0,65,David Velasquez,0, Orthodox,145
0,11-11-1991,68,Diego Rivas,69, Orthodox,145
0,10-06-1988,73,Jack Hermansson,77, Orthodox,185
0,07-08-1988,69,Adam Yandiev,74, Orthodox,185
0,22-07-1982,68,Mark Hominick,68, Orthodox,145
0,22-06-1963,73,Randy Couture,75, Orthodox,205
0,18-07-1984,61,Ben Askren,73, Orthodox,170
0,05-05-1981,75,Steve Steinbeiss,75, Orthodox,185
0,17-09-1982,65,Scott Jorgensen,66, Orthodox,135
0,28-12-1984,61,Matt Bessette,70, Orthodox,145
0,30-06-1972,75,Fabiano Scherner,0, Orthodox,257
0,14-05-1982,72,Tom DeBlass,75, Orthodox,185
0,14-12-1987,73,Caio Magalhaes,73, Orthodox,185
0,14-03-1984,61,Jimmy Wallhead,73, Orthodox,170
0,21-12-1987,73,Brad Tavares,74, Orthodox,185
0,25-06-1983,72,Marcelo Guimaraes,73, Orthodox,185
