,index,Winner,R_fighter,B_fighter,WEIGHT_CLASS,METHOD,DETAIL,title_bout,date,location,attendance,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter.1,KD.1,Sig. str. %.1,Td %.1,Sub. att.1,Pass.1,Rev..1,Sig. str. Hits.1,Sig. str. Attempts.1,Total str. Hits.1,Total str. Attempts.1,Td Hits.1,Td Attempts.1,Head Hits.1,Head Attempts.1,Body Hits.1,Body Attempts.1,Leg Hits.1,Leg Attempts.1,Distance Hits.1,Distance Attempts.1,Clinch Hits.1,Clinch Attempts.1,Ground Hits.1,Ground Attempts.1,rounds,time,format,referee,url,label,match_time,DOB,Height,Reach,Stance,Weight,DOB.1,Height.1,Reach.1,Stance.1,Weight.1
0,0,win,Charles Oliveira,Kevin Lee,Lightweight,SUB,Guillotine Choke,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Kevin Lee,0,0.51,0.66,0,2,1,41,80,61,100,2,3,35,74,6,6,0,0,31,65,0,0,10,15,Charles Oliveira,0,0.66,0.0,2,0,1,43,65,51,73,0,1,28,49,9,10,6,6,35,56,2,2,6,7,3,00:00:28,5 Rnd (5-5-5-5-5),Mike Beltran,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,10.47,04-09-1992,69,77, Orthodox,170,17-10-1989,61,74, Orthodox,155
1,1,win,Gilbert Burns,Demian Maia,Welterweight,KO/TKO,Punch,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Demian Maia,0,0.57,1.0,0,1,0,4,7,4,7,2,2,4,7,0,0,0,0,4,7,0,0,0,0,Gilbert Burns,1,0.81,0.0,0,0,0,13,16,14,17,0,0,10,13,1,1,2,2,5,7,0,0,8,9,1,00:02:34,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,2.57,06-11-1977,73,72, Southpaw,170,20-07-1986,61,71, Orthodox,170
2,2,win,Renato Moicano,Damir Hadzovic,Lightweight,SUB,Rear Naked Choke,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Renato Moicano,0,0.5,1.0,1,1,0,1,2,4,5,1,1,1,2,0,0,0,0,1,2,0,0,0,0,Damir Hadzovic,0,0.2,0.0,0,0,0,1,5,1,5,0,0,0,4,0,0,1,1,1,5,0,0,0,0,1,00:00:44,3 Rnd (5-5-5),Eduardo Herdy,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,0.73,21-05-1989,61,72, Orthodox,155,08-08-1986,69,70, Orthodox,155
3,3,win,Nikita Krylov,Johnny Walker,Light Heavyweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Johnny Walker,0,0.74,0.0,0,2,1,37,50,91,112,0,0,33,45,2,3,2,2,10,14,8,9,19,27,Nikita Krylov,0,0.77,0.37,0,4,1,45,58,128,148,3,8,38,49,6,7,1,2,10,18,2,3,33,37,3,00:05:00,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,15.0,30-03-1992,78,82, Orthodox,205,07-03-1992,75,77, Orthodox,205
4,4,win,Francisco Trinaldo,John Makdessi,Lightweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Francisco Trinaldo,0,0.43,0.0,0,0,0,55,126,55,126,0,1,34,100,17,22,4,4,53,124,2,2,0,0,John Makdessi,0,0.54,0.0,0,0,0,67,123,68,124,0,0,15,54,16,26,36,43,65,121,2,2,0,0,3,00:05:00,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,24-08-1978,69,70, Southpaw,155,03-05-1985,68,68, Orthodox,155
5,5,win,Brandon Moreno,Jussier Formiga,Flyweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Jussier Formiga,0,0.46,0.11,1,3,1,15,32,61,81,1,9,9,24,4,5,2,3,12,28,0,1,3,3,Brandon Moreno,0,0.4,0.0,0,1,1,33,82,94,147,0,2,29,76,4,6,0,0,20,61,4,9,9,12,3,00:05:00,3 Rnd (5-5-5),Eduardo Herdy,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,15.0,14-04-1985,65,67, Orthodox,125,07-12-1993,67,70, Orthodox,125
6,6,win,Amanda Ribas,Randa Markos,Women's Strawweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Amanda Ribas,0,0.53,0.33,2,4,1,85,159,173,254,1,3,57,125,18,24,10,10,45,111,8,9,32,39,Randa Markos,0,0.46,1.0,0,0,0,36,77,56,99,1,1,22,58,3,7,11,12,33,74,3,3,0,0,3,00:05:00,3 Rnd (5-5-5),Camila Albuquerque,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,26-08-1993,63,66, Orthodox,115,10-08-1985,64,63, Orthodox,115
7,7,win,Elizeu Zaleski dos Santos,Aleksei Kunchenko,Welterweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Elizeu Zaleski dos Santos,0,0.39,0.5,0,0,0,62,156,74,169,2,4,25,95,16,32,21,29,56,149,4,5,2,2,Aleksei Kunchenko,0,0.5,0.0,0,0,0,57,112,97,156,0,0,29,72,11,18,17,22,48,101,8,10,1,1,3,00:05:00,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/e0b323dae5bf4c90,0,15.0,11-12-1986,61,73, Orthodox,170,02-05-1984,68,70, Orthodox,170
8,8,draw,Rani Yahya,Enrique Barzola,Bantamweight,M-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Rani Yahya,0,0.53,0.4,0,3,1,24,45,58,83,2,5,12,30,5,7,7,8,19,38,1,2,4,5,Enrique Barzola,0,0.66,0.5,1,5,1,57,86,148,187,1,2,39,65,18,20,0,1,10,36,1,1,46,49,3,00:05:00,3 Rnd (5-5-5),Julio Catarino,http://ufcstats.com/fight-details/e0b323dae5bf4c90,99999,15.0,12-09-1984,66,67, Orthodox,135,28-04-1989,67,70,,145
9,9,win,Maryna Moroz,Mayra Bueno Silva,Women's Flyweight,U-DEC,,0.0,14-03-2020,"Brasilia, Distrito Federal, Brazil",0.0,Mayra Bueno Silva,0,0.6,0.0,0,0,0,88,146,92,150,0,0,45,92,20,22,23,32,73,130,15,16,0,0,Maryna Moroz,0,0.56,0.25,0,1,0,139,247,176,298,2,8,75,160,49,71,15,16,111,203,10,18,18,26,3,00:05:00,3 Rnd (5-5-5),Camila Albuquerque,http://ufcstats.com/fight-details/e0b323dae5bf4c90,1,15.0,22-08-1991,66,66, Orthodox,135,08-09-1991,67,67, Orthodox,125
