,Winner,R_fighter,Fighter,Height,Reach,Stance,Weight,age,loss,win,draws,streak,cum_match_time,avg_cum_KD,avg_cum_Sub. att,avg_cum_Pass,avg_cum_Rev.,avg_cum_Sig. str. Hits,avg_cum_Sig. str. Attempts,avg_cum_Total str. Hits,avg_cum_Total str. Attempts,avg_cum_Td Hits,avg_cum_Td Attempts,avg_cum_Head Hits,avg_cum_Head Attempts,avg_cum_Body Hits,avg_cum_Body Attempts,avg_cum_Leg Hits,avg_cum_Leg Attempts,avg_cum_Distance Hits,avg_cum_Distance Attempts,avg_cum_Clinch Hits,avg_cum_Clinch Attempts,avg_cum_Ground Hits,avg_cum_Ground Attempts,eff_sig_str,eff_hits,eff_tds,eff_head,eff_leg,eff_body,eff_distance,eff_clinch,eff_ground,Fighter.1,Height.1,Reach.1,Stance.1,Weight.1,age.1,loss.1,win.1,draws.1,streak.1,cum_match_time.1,avg_cum_KD.1,avg_cum_Sub. att.1,avg_cum_Pass.1,avg_cum_Rev..1,avg_cum_Sig. str. Hits.1,avg_cum_Sig. str. Attempts.1,avg_cum_Total str. Hits.1,avg_cum_Total str. Attempts.1,avg_cum_Td Hits.1,avg_cum_Td Attempts.1,avg_cum_Head Hits.1,avg_cum_Head Attempts.1,avg_cum_Body Hits.1,avg_cum_Body Attempts.1,avg_cum_Leg Hits.1,avg_cum_Leg Attempts.1,avg_cum_Distance Hits.1,avg_cum_Distance Attempts.1,avg_cum_Clinch Hits.1,avg_cum_Clinch Attempts.1,avg_cum_Ground Hits.1,avg_cum_Ground Attempts.1,eff_sig_str.1,eff_hits.1,eff_tds.1,eff_head.1,eff_leg.1,eff_body.1,eff_distance.1,eff_clinch.1,eff_ground.1,WEIGHT_CLASS,title_bout,location,attendance,num_rounds,label,matches,matches.1
0,win,Charles Oliveira,Charles Oliveira,61,74, Orthodox,155,30.43,8.0,16.0,1.0,6.0,162.18,0.25,1.85,2.1,0.25,32.12,63.39,47.29,79.79,1.85,4.32,17.51,42.79,9.0,13.57,5.61,7.03,18.74,44.7,7.4,10.48,5.98,8.2,0.51,0.59,0.43,0.41,0.8,0.66,0.42,0.71,0.73,Kevin Lee,69,77, Orthodox,170,27.54,5.0,11.0,0.0,1.0,190.69,0.05,0.58,2.41,0.05,38.96,91.61,56.69,111.54,2.15,5.03,30.21,80.23,7.76,10.38,1.0,1.0,21.55,68.54,3.83,5.14,13.58,17.93,0.43,0.51,0.43,0.38,1.0,0.75,0.31,0.74,0.76,Lightweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,5,0,26.0,17.0
1,win,Gilbert Burns,Gilbert Burns,61,71, Orthodox,170,33.67,3.0,10.0,0.0,4.0,141.75,0.21,0.49,1.62,0.0,30.9,70.76,43.32,85.15,1.62,4.16,18.48,54.18,6.84,9.45,5.57,7.13,21.31,56.93,4.02,6.28,5.57,7.55,0.44,0.51,0.39,0.34,0.78,0.72,0.37,0.64,0.74,Demian Maia,73,72, Southpaw,170,42.38,9.0,22.0,0.0,3.0,392.11,0.03,0.69,2.5,0.2,18.21,41.72,44.25,72.35,1.66,6.4,14.46,36.55,2.75,3.9,0.99,1.28,8.85,28.79,2.24,3.42,7.12,9.51,0.44,0.61,0.26,0.4,0.78,0.71,0.31,0.66,0.75,Welterweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,0,14.0,32.0
2,win,Renato Moicano,Damir Hadzovic,69,70, Orthodox,155,33.62,3.0,3.0,0.0,-1.0,65.9,0.3,0.15,0.46,0.0,30.05,64.19,42.49,79.21,0.46,0.76,21.55,52.96,5.92,8.65,2.58,2.58,21.4,52.35,3.19,3.64,5.46,8.19,0.47,0.54,0.6,0.41,1.0,0.68,0.41,0.88,0.67,Renato Moicano,61,72, Orthodox,155,30.84,3.0,5.0,0.0,-2.0,77.43,0.13,0.26,1.16,0.0,55.28,118.43,58.5,121.79,0.77,1.42,35.52,92.47,5.3,9.04,14.46,16.92,52.82,114.68,0.77,1.29,1.68,2.45,0.47,0.48,0.55,0.38,0.85,0.59,0.46,0.6,0.68,Lightweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,1,7.0,9.0
3,win,Nikita Krylov,Nikita Krylov,75,77, Orthodox,205,28.04,5.0,7.0,0.0,-1.0,70.96000000000001,0.42,1.27,1.83,0.56,48.62,84.41,85.12,124.3,0.7,1.83,29.45,57.78,11.84,17.47,7.33,9.16,23.25,52.71,17.19,21.56,8.17,10.15,0.58,0.68,0.38,0.51,0.8,0.68,0.44,0.8,0.81,Johnny Walker,78,82, Orthodox,205,27.98,1.0,3.0,0.0,-1.0,4.92,6.1,0.0,0.0,0.0,44.72,60.98,44.72,60.98,0.0,0.0,34.55,50.81,2.03,2.03,8.13,8.13,22.36,30.49,6.1,6.1,16.26,24.39,0.73,0.73,0.0,0.68,1.0,1.0,0.73,1.0,0.67,Light Heavyweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,0,13.0,5.0
4,win,Francisco Trinaldo,Francisco Trinaldo,69,70, Southpaw,155,41.58,6.0,14.0,0.0,1.0,235.64999999999998,0.17,0.34,0.81,0.08,30.94,70.32,41.08,81.73,0.72,1.57,18.8,54.78,8.53,11.33,3.61,4.2,20.67,55.12,5.64,8.11,4.63,7.09,0.44,0.5,0.46,0.34,0.86,0.75,0.37,0.7,0.65,John Makdessi,68,68, Orthodox,155,34.89,6.0,10.0,0.0,3.0,182.72,0.33,0.0,0.0,0.0,54.35,106.78,58.4,111.92,0.0,0.16,28.9,68.25,12.92,22.44,12.53,16.09,50.35,98.73,2.52,5.04,1.48,3.01,0.51,0.52,0.0,0.42,0.78,0.58,0.51,0.5,0.49,Lightweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,0,21.0,17.0
5,win,Brandon Moreno,Brandon Moreno,67,70, Orthodox,125,26.28,2.0,4.0,1.0,1.0,96.47999999999999,0.21,0.41,0.52,0.21,31.2,91.11,42.91,104.27,1.35,3.11,22.8,79.08,4.77,7.05,3.63,4.98,25.6,81.36,1.97,3.63,3.63,6.12,0.34,0.41,0.43,0.29,0.73,0.68,0.31,0.54,0.59,Jussier Formiga,65,67, Orthodox,125,34.94,5.0,9.0,0.0,-1.0,161.82,0.12,0.37,2.53,0.0,13.84,35.6,31.15,55.49,1.3,3.28,10.07,30.53,2.22,3.28,1.54,1.79,9.58,29.72,1.79,2.53,2.47,3.34,0.39,0.56,0.4,0.33,0.86,0.68,0.32,0.71,0.74,Flyweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,0,8.0,15.0
6,win,Amanda Ribas,Randa Markos,64,63, Orthodox,115,34.62,6.0,6.0,1.0,1.0,173.97,0.0,0.17,1.55,0.29,30.06,72.71,51.73,97.14,0.92,3.33,23.51,64.26,2.87,3.91,3.68,4.54,18.05,56.73,6.09,8.51,5.92,7.47,0.41,0.53,0.28,0.37,0.81,0.74,0.32,0.72,0.79,Amanda Ribas,63,66, Orthodox,115,26.57,0.0,2.0,0.0,2.0,22.17,0.0,0.9,1.35,0.0,42.85,111.41,68.11,138.93,1.8,3.16,25.26,89.31,11.28,14.88,6.31,7.22,36.99,101.49,1.8,2.26,4.06,7.67,0.38,0.49,0.57,0.28,0.88,0.76,0.36,0.8,0.53,Women's Strawweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,1,14.0,3.0
7,win,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,61,73, Orthodox,170,33.28,2.0,7.0,0.0,-1.0,100.47999999999999,0.2,0.4,0.7,0.2,41.8,104.6,45.78,108.88,0.3,2.09,26.57,82.9,9.45,14.43,5.77,7.27,28.36,84.99,10.65,14.63,2.79,4.98,0.4,0.42,0.14,0.32,0.79,0.66,0.33,0.73,0.56,Aleksei Kunchenko,68,70, Orthodox,170,35.89,1.0,2.0,0.0,-1.0,45.0,0.0,0.0,0.0,0.0,36.22,85.33,69.33,120.22,0.22,0.67,21.33,64.44,5.11,8.89,9.78,12.0,27.56,73.56,6.67,8.89,2.0,2.89,0.42,0.58,0.33,0.33,0.81,0.57,0.37,0.75,0.69,Welterweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,0,10.0,4.0
8,draw,Rani Yahya,Rani Yahya,66,67, Orthodox,135,35.53,4.0,11.0,1.0,-1.0,176.36,0.0,1.19,2.49,0.28,18.14,50.24,46.95,83.47,1.93,5.78,10.83,39.98,3.86,5.56,3.46,4.71,12.76,42.87,1.08,1.81,4.31,5.56,0.36,0.56,0.33,0.27,0.73,0.69,0.3,0.59,0.78,Enrique Barzola,67,70,,145,30.9,3.0,6.0,0.0,-1.0,135.0,0.0,0.15,0.81,0.0,39.26,98.22,62.07,128.44,3.04,6.67,22.89,77.26,8.44,11.93,7.93,9.04,30.67,83.7,2.67,4.07,5.93,10.44,0.4,0.48,0.46,0.3,0.88,0.71,0.37,0.65,0.57,Bantamweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,99999,17.0,10.0
9,win,Maryna Moroz,Maryna Moroz,67,67, Orthodox,125,28.53,3.0,4.0,0.0,1.0,91.5,0.0,0.33,0.33,0.0,32.46,126.67,42.08,138.03,0.22,1.53,19.34,105.9,9.84,16.28,3.28,4.48,28.31,119.56,1.53,4.04,2.62,3.06,0.26,0.3,0.14,0.18,0.73,0.6,0.24,0.38,0.86,Mayra Bueno Silva,66,66, Orthodox,135,28.58,0.0,1.0,0.0,1.0,4.92,0.0,2.03,0.0,0.0,22.36,65.04,24.39,67.07,0.0,0.0,18.29,60.98,4.07,4.07,0.0,0.0,10.16,44.72,0.0,2.03,12.2,18.29,0.34,0.36,0.0,0.3,0.0,1.0,0.23,0.0,0.67,Women's Flyweight,0.0,"Brasilia, Distrito Federal, Brazil",0.0,3,0,8.0,2.0
